ilan_ilce,ilan_fiyat,net_metrekare,oda_sayısı,bulunduğu_kat,ısıtma_tipi,krediye_uygunluk,banyo_sayısı,tipi,brüt_metrekare,binanın_yaşı,binanın_kat_sayısı,site_içerisinde
Kadıköy,13616020,180,4+2,Çatı Dubleks,Yerden Isıtma,Krediye Uygun,2,Daire,220,5-10,9,Hayır
Kadıköy,14166240,180,5+2,Çatı Dubleks,Merkezi,Krediye Uygun,2,Daire,220,0,15,Hayır
Kadıköy,2430720,50,2+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,60,21 Ve Üzeri,4,Hayır
Kadıköy,4219060,63,2+1,5.Kat,Yerden Isıtma,Krediye Uygun,1,Daire,85,0,7,Hayır
Kadıköy,5151360,70,2+1,5.Kat,Merkezi,Krediye Uygun,1,Daire,80,5-10,15,Hayır
Kadıköy,9661950,75,2+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,85,4,10,Hayır
Kadıköy,9014880,110,3+1,3.Kat,Merkezi,Krediye Uygun,2,Daire,140,21 Ve Üzeri,10,Hayır
Kadıköy,5473320,75,2+1,4.Kat,Doğalgaz,Krediye Uygun,1,Daire,85,21 Ve Üzeri,9,Hayır
Kadıköy,11912520,145,3+1,8.Kat,Doğalgaz,Krediye Uygun,3,Daire,185,21 Ve Üzeri,9,Hayır
Kadıköy,5814690,55,2+1,7.Kat,Doğalgaz,Krediye Uygun,1,Daire,70,0,8,Hayır
Kadıköy,13616020,180,4+2,9.Kat,Yerden Isıtma,Krediye Uygun,3,Daire,220,5-10,9,Hayır
Kadıköy,4535534,58,2+1,7.Kat,Merkezi,Krediye Uygun,1,Daire,74,1,10,Hayır
Kadıköy,5527280,85,3+1,8.Kat,Merkezi,Krediye Uygun,1,Daire,110,21 Ve Üzeri,8,Hayır
Kadıköy,11952160,90,3+1,Bahçe Katı,Doğalgaz,Krediye Uygun,2,Daire,110,0,4,Hayır
Kadıköy,18523941,150,3+1,31-38,Merkezi,Krediye Uygun Değil,2,Residence,223,4,40,Evet
Kadıköy,14511510,160,4+1,3.Kat,Doğalgaz,Krediye Uygun,2,Daire,195,21 Ve Üzeri,8,Hayır
Kadıköy,5976080,45,1+1,7.Kat,Doğalgaz,Krediye Uygun,1,Daire,55,4,8,Hayır
Kadıköy,11068050,80,2+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,105,4,10,Hayır
Kadıköy,5473320,70,2+1,4.Kat,Merkezi,Krediye Uygun,1,Daire,85,0,15,Hayır
Kadıköy,23190200,165,4+1,8.Kat,Doğalgaz,Krediye Uygun,3,Daire,220,2,9,Hayır
Kadıköy,5473320,70,2+1,4.Kat,Merkezi,Krediye Uygun,1,Daire,85,0,15,Hayır
Kadıköy,6117240,72,2+1,7.Kat,Doğalgaz,Krediye Uygun,1,Daire,95,0,8,Hayır
Kadıköy,10383375,95,3+1,10.Kat,Yerden Isıtma,Krediye Uygun,2,Daire,125,0,15,Hayır
Kadıköy,10865600,82,2+1,8.Kat,Doğalgaz,Krediye Uygun,2,Daire,100,0,9,Hayır
Kadıköy,11718900,115,3+1,11-15,Doğalgaz,Krediye Uygun Değil,2,Daire,150,3,15,Hayır
Kadıköy,10865600,85,2+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,100,5-10,5,Hayır
Kadıköy,17919700,145,4+1,6.Kat,Merkezi,Krediye Uygun,2,Daire,170,4,15,Hayır
Kadıköy,13038720,95,3+1,9.Kat,Merkezi,Krediye Uygun,2,Daire,120,3,15,Hayır
Kadıköy,19323900,145,3+1,7.Kat,Doğalgaz,Krediye Uygun,3,Daire,170,5-10,7,Hayır
Kadıköy,8045830,110,3+1,2.Kat,Merkezi,Krediye Uygun,1,Daire,130,21 Ve Üzeri,8,Hayır
Kadıköy,10798650,80,2+1,2.Kat,Yerden Isıtma,Krediye Uygun,1,Daire,95,4,15,Hayır
Kadıköy,17384960,123,3+1,9.Kat,Doğalgaz,Krediye Uygun,2,Daire,160,21 Ve Üzeri,15,Hayır
Kadıköy,8692480,60,2+1,2.Kat,Doğalgaz,Krediye Uygun,1,Daire,80,0,7,Hayır
Kadıköy,9525504,93,3+1,1.Kat,Doğalgaz,Krediye Uygun,2,Daire,128,5-10,8,Hayır
Kadıköy,9674340,95,3+1,4.Kat,Doğalgaz,Krediye Uygun,2,Daire,130,5-10,10,Hayır
Kadıköy,6566430,100,3+1,Giriş,Doğalgaz,Krediye Uygun,2,Daire,130,21 Ve Üzeri,5,Hayır
Kadıköy,19558080,145,4+1,11-15,Doğalgaz,Krediye Uygun,2,Daire,180,4,15,Hayır
Kadıköy,9552705,93,3+1,6.Kat,Doğalgaz,Krediye Uygun,2,Daire,115,0,10,Hayır
Kadıköy,10541000,80,2+1,1.Kat,Merkezi,Krediye Uygun,1,Daire,100,11-15,9,Hayır
Kadıköy,9014880,110,3+1,11-15,Merkezi,Krediye Uygun,2,Daire,140,0,15,Hayır
Kadıköy,8558070,90,3+1,8.Kat,Doğalgaz,Krediye Uygun,1,Daire,115,0,10,Hayır
Kadıköy,9658800,110,3+1,11-15,Merkezi,Krediye Uygun,2,Daire,150,0,15,Hayır
Kadıköy,4307450,65,2+1,11-15,Yerden Isıtma,Krediye Uygun,1,Daire,70,0,15,Hayır
Kadıköy,9004578,90,3+1,8.Kat,Doğalgaz,Krediye Uygun,2,Daire,121,1,10,Hayır
Kadıköy,8334816,82,3+1,10.Kat,Doğalgaz,Krediye Uygun,2,Daire,112,4,15,Hayır
Kadıköy,9552705,76,3+1,5.Kat,Doğalgaz,Krediye Uygun,2,Daire,115,11-15,10,Hayır
Kadıköy,4369240,45,1+1,11-15,Merkezi,Krediye Uygun,1,Daire,76,3,20,Evet
Kadıköy,6084736,43,1+1,1.Kat,Merkezi,Krediye Uygun,1,Daire,56,5-10,10,Hayır
Kadıköy,7967830,115,3+1,4.Kat,Doğalgaz,Krediye Uygun,2,Daire,130,1,10,Hayır
Kadıköy,6697620,62,2+1,Giriş,Doğalgaz,Krediye Uygun Değil,1,Daire,90,0,10,Hayır
Kadıköy,8930160,90,3+1,10.Kat,Merkezi,Krediye Uygun,2,Daire,120,5-10,15,Hayır
Kadıköy,10383375,90,3+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,125,0,8,Hayır
Kadıköy,7426920,100,3+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,120,21 Ve Üzeri,9,Hayır
Kadıköy,6742010,90,3+1,1.Kat,Doğalgaz,Krediye Uygun,1,Daire,110,21 Ve Üzeri,9,Hayır
Kadıköy,8355285,110,3+1,5.Kat,Doğalgaz,Krediye Uygun,1,Daire,135,21 Ve Üzeri,5,Hayır
Kadıköy,4951280,70,2+1,Giriş,Merkezi,Krediye Uygun,1,Daire,80,21 Ve Üzeri,7,Evet
Kadıköy,5863980,71,3+1,16-20,Merkezi,Krediye Uygun Değil,2,Daire,102,0,30,Evet
Kadıköy,16298400,135,4+1,8.Kat,Doğalgaz,Krediye Uygun,2,Daire,150,4,8,Hayır
Kadıköy,2779616,40,1+1,7.Kat,Merkezi,Krediye Uygun,1,Daire,56,4,20,Evet
Kadıköy,11268600,145,4+1,8.Kat,Doğalgaz,Krediye Uygun,1,Daire,175,21 Ve Üzeri,10,Hayır
Kadıköy,7083120,80,3+1,7.Kat,Merkezi,Krediye Uygun,2,Daire,110,0,10,Hayır
Kadıköy,14139420,146,3+2,8.Kat,Doğalgaz,Krediye Uygun,3,Daire,190,5-10,8,Hayır
Kadıköy,12503700,80,2+1,2.Kat,Merkezi,Krediye Uygun,1,Daire,110,4,15,Hayır
Kadıköy,5230800,60,2+1,3.Kat,Doğalgaz,Krediye Uygun,1,Daire,80,0,8,Hayır
Kadıköy,9765750,90,3+1,11-15,Doğalgaz,Krediye Uygun,1,Daire,125,3,10,Hayır
Kadıköy,9375120,90,3+1,3.Kat,Yerden Isıtma,Krediye Uygun,2,Daire,120,0,8,Hayır
