ilan_ilce,ilan_fiyat,net_metrekare,oda_sayısı,bulunduğu_kat,ısıtma_tipi,krediye_uygunluk,banyo_sayısı,tipi,brüt_metrekare,binanın_yaşı,binanın_kat_sayısı,site_içerisinde
19,13616020,180,6,20,5,0,1,1,220,8,8,1
19,14166240,180,8,20,3,0,1,1,220,0,10,1
19,2430720,50,1,2,0,0,0,1,60,5,3,1
19,4219060,63,1,12,5,0,0,1,85,0,6,1
19,5151360,70,1,12,3,0,0,1,80,8,10,1
19,9661950,75,1,2,0,0,0,1,85,7,9,1
19,9014880,110,3,9,3,0,1,1,140,5,9,1
19,5473320,75,1,11,0,0,0,1,85,5,8,1
19,11912520,145,3,15,0,0,2,1,185,5,8,1
19,5814690,55,1,14,0,0,0,1,70,0,7,1
19,13616020,180,6,16,5,0,2,1,220,8,8,1
19,4535534,58,1,14,3,0,0,1,74,1,9,1
19,5527280,85,3,15,3,0,0,1,110,5,7,1
19,11952160,90,3,17,0,0,1,1,110,0,3,1
19,18523941,150,3,10,3,1,1,4,223,7,13,0
19,14511510,160,5,9,0,0,1,1,195,5,7,1
19,5976080,45,0,14,0,0,0,1,55,7,7,1
19,11068050,80,1,2,0,0,0,1,105,7,9,1
19,5473320,70,1,11,3,0,0,1,85,0,10,1
19,23190200,165,5,15,0,0,2,1,220,4,8,1
19,5473320,70,1,11,3,0,0,1,85,0,10,1
19,6117240,72,1,14,0,0,0,1,95,0,7,1
19,10383375,95,3,3,5,0,1,1,125,0,10,1
19,10865600,82,1,15,0,0,1,1,100,0,8,1
19,11718900,115,3,4,0,1,1,1,150,6,10,1
19,10865600,85,1,9,0,0,0,1,100,8,4,1
19,17919700,145,5,13,3,0,1,1,170,7,10,1
19,13038720,95,3,16,3,0,1,1,120,6,10,1
19,19323900,145,3,14,0,0,2,1,170,8,6,1
19,8045830,110,3,6,3,0,0,1,130,5,7,1
19,10798650,80,1,6,5,0,0,1,95,7,10,1
19,17384960,123,3,16,0,0,1,1,160,5,10,1
19,8692480,60,1,6,0,0,0,1,80,0,6,1
19,9525504,93,3,2,0,0,1,1,128,8,7,1
19,9674340,95,3,11,0,0,1,1,130,8,9,1
19,6566430,100,3,18,0,0,1,1,130,5,4,1
19,19558080,145,5,4,0,0,1,1,180,7,10,1
19,9552705,93,3,13,0,0,1,1,115,0,9,1
19,10541000,80,1,2,3,0,0,1,100,2,8,1
19,9014880,110,3,4,3,0,1,1,140,0,10,1
19,8558070,90,3,15,0,0,0,1,115,0,9,1
19,9658800,110,3,4,3,0,1,1,150,0,10,1
19,4307450,65,1,4,5,0,0,1,70,0,10,1
19,9004578,90,3,15,0,0,1,1,121,1,9,1
19,8334816,82,3,3,0,0,1,1,112,7,10,1
19,9552705,76,3,12,0,0,1,1,115,2,9,1
19,4369240,45,0,4,3,0,0,1,76,6,11,0
19,6084736,43,0,2,3,0,0,1,56,8,9,1
19,7967830,115,3,11,0,0,1,1,130,1,9,1
19,6697620,62,1,18,0,1,0,1,90,0,9,1
19,8930160,90,3,3,3,0,1,1,120,8,10,1
19,10383375,90,3,9,0,0,0,1,125,0,7,1
19,7426920,100,3,9,0,0,0,1,120,5,8,1
19,6742010,90,3,2,0,0,0,1,110,5,8,1
19,8355285,110,3,12,0,0,0,1,135,5,4,1
19,4951280,70,1,18,3,0,0,1,80,5,6,0
19,5863980,71,3,5,3,1,1,1,102,0,12,0
19,16298400,135,5,15,0,0,1,1,150,7,7,1
19,2779616,40,0,14,3,0,0,1,56,7,11,0
19,11268600,145,5,15,0,0,0,1,175,5,9,1
19,7083120,80,3,14,3,0,1,1,110,0,9,1
19,14139420,146,4,15,0,0,2,1,190,8,7,1
19,12503700,80,1,6,3,0,0,1,110,7,10,1
19,5230800,60,1,9,0,0,0,1,80,0,7,1
19,9765750,90,3,4,0,0,0,1,125,6,9,1
19,9375120,90,3,9,5,0,1,1,120,0,7,1
19,8306700,75,1,16,3,0,1,1,100,7,10,1
19,6700860,125,3,2,0,0,0,1,135,2,3,1
19,11952160,90,3,17,0,0,1,1,110,1,4,1
19,8306700,86,3,14,0,0,1,1,100,0,7,1
19,14204457,144,5,4,0,0,1,1,171,0,10,1
19,8692920,105,3,4,3,0,0,1,135,5,10,0
19,6438880,72,1,6,3,1,1,1,112,0,12,0
19,11595100,80,1,16,0,0,1,1,110,8,9,1
19,15811500,112,3,11,0,0,1,1,150,0,10,1
19,13703300,90,3,11,0,0,1,1,130,8,9,1
19,9137370,80,1,6,0,0,1,1,110,7,8,1
19,11214045,100,3,15,0,0,1,1,135,0,10,1
19,5266560,120,3,9,0,0,0,1,130,5,4,1
19,6181632,72,1,6,0,0,1,1,96,4,7,1
19,13703300,95,3,2,3,0,0,1,130,8,10,1
19,9014880,110,3,4,3,0,1,1,140,0,10,1
19,7117465,92,3,6,0,0,0,1,115,0,7,1
19,9552705,90,3,12,0,0,1,1,115,3,9,1
19,7069710,70,1,11,0,0,0,1,95,7,7,1
19,9806560,130,5,2,0,0,1,1,160,5,8,1
19,6117240,78,1,6,3,0,0,1,95,8,9,1
19,5795280,70,1,13,0,0,0,1,90,0,8,1
19,9235760,70,1,9,0,0,0,1,85,5,2,1
19,12460050,130,3,9,3,0,1,1,150,0,10,1
20,2711720,76,1,17,0,0,0,1,88,7,5,1
20,3256600,75,1,2,5,0,0,1,95,2,4,1
20,8484840,150,5,12,0,0,1,1,180,0,4,1
20,4799200,120,3,18,0,0,1,1,140,8,7,1
20,4867830,9,3,18,0,0,2,1,110,8,3,1
20,4919040,120,3,9,3,0,1,1,140,0,10,0
20,3513600,80,1,2,0,0,0,1,100,0,3,1
20,2804780,70,1,4,3,1,1,1,95,0,11,0
20,2947404,78,1,1,0,0,1,1,92,0,10,1
20,5270400,140,5,20,0,0,2,1,150,2,4,1
20,3091968,77,1,16,3,0,0,1,88,0,10,0
20,2742400,65,0,5,0,1,0,1,80,7,12,0
20,5766660,150,7,4,0,0,1,1,180,8,9,1
20,4852400,150,3,14,3,0,1,1,200,8,8,1
20,6372432,110,3,16,3,0,2,1,144,0,11,0
20,3203700,80,1,9,0,0,0,1,100,8,9,0
20,2346136,52,0,4,3,0,0,1,68,8,12,0
20,3235575,71,1,6,3,1,1,4,105,0,12,1
20,6324480,160,3,20,0,0,0,1,180,8,5,1
20,6382870,145,3,11,3,0,2,1,185,8,10,0
20,5270400,135,3,6,0,0,1,1,150,5,7,0
20,7762950,200,8,20,0,0,0,1,225,0,4,1
20,3162240,70,1,11,3,0,0,1,90,0,3,0
20,3105180,70,1,18,0,0,0,1,90,5,3,1
20,27095000,210,5,2,0,0,1,5,250,5,2,0
20,4902040,95,3,6,0,0,1,1,110,2,4,1
20,6513200,170,4,20,0,0,1,1,190,8,6,1
20,5520320,140,8,20,0,0,1,1,160,0,3,1
20,4164810,110,3,6,0,0,0,1,130,8,5,1
20,5766660,170,3,20,0,0,1,1,180,5,2,1
20,2587650,60,1,2,0,0,0,1,75,8,3,1
20,3513600,85,3,17,0,0,0,1,100,5,5,1
20,4140240,100,1,8,3,0,0,1,120,8,13,0
20,4723840,130,3,20,0,0,1,1,160,0,2,1
20,6555380,160,3,21,0,1,0,1,190,5,2,1
20,3162240,70,1,2,0,0,0,1,90,8,3,1
20,2952400,80,1,2,0,0,0,1,100,0,4,1
20,2986560,76,1,11,0,0,0,1,85,7,3,1
20,4867460,110,3,9,3,0,0,1,130,8,7,0
20,4919040,120,3,20,0,0,1,1,140,8,4,1
20,6407400,180,5,9,3,0,1,1,200,0,10,0
20,4140240,100,3,18,0,1,0,1,120,5,3,1
20,3154060,110,3,14,0,0,0,1,130,2,10,0
20,4216320,110,3,2,0,0,1,1,120,0,3,1
20,2810880,60,1,2,0,0,0,1,80,8,2,1
20,3689280,85,3,18,0,0,0,1,105,0,3,1
20,3639300,130,5,11,0,0,0,1,150,8,4,0
20,4743360,120,3,2,0,0,0,1,135,8,3,1
20,3389650,90,3,13,0,0,1,1,110,0,5,1
20,3247640,90,1,16,3,0,0,1,110,2,9,0
20,3524070,100,1,6,0,0,0,1,110,8,9,1
20,2986560,70,1,12,3,0,0,1,85,0,11,0
20,2986560,70,1,12,3,0,0,1,85,0,11,0
20,3443328,75,1,11,0,0,0,1,98,0,5,1
20,3690500,115,3,18,3,0,0,1,125,2,3,0
20,4493040,105,3,6,0,0,1,1,120,0,7,1
20,2657160,75,3,6,4,1,0,1,90,5,1,1
20,3337920,80,1,11,3,0,0,1,95,0,11,0
20,5175300,130,3,2,0,0,1,1,150,5,8,0
20,5347680,100,3,6,0,1,0,1,120,5,3,1
20,3477690,75,1,6,0,0,0,1,90,8,3,1
20,6121610,80,1,13,0,1,0,1,95,7,6,1
20,3162240,70,1,18,0,0,0,1,90,0,4,1
20,3744200,90,3,6,0,0,1,1,100,0,3,1
20,3247640,100,3,11,0,0,0,1,110,0,3,1
20,3247640,90,1,2,0,0,0,1,110,5,4,0
20,34071040,300,1,2,0,0,0,0,320,5,1,1
20,3369780,80,1,6,0,1,0,1,90,5,1,1
20,6210360,160,4,20,0,0,1,1,180,0,4,1
20,2986560,70,1,7,3,0,0,1,85,7,12,0
20,4312750,114,1,2,0,0,0,1,125,5,4,1
20,3247640,90,1,11,0,1,0,1,110,5,5,0
20,2619275,65,1,9,0,0,0,1,85,0,5,1
20,4485960,110,3,13,3,0,1,1,120,8,8,0
20,3689280,95,3,18,0,0,0,1,105,2,2,1
20,4314100,110,4,20,0,0,1,1,140,0,4,1
2,3928920,110,3,1,0,0,0,1,120,2,3,0
2,3404400,95,1,9,0,0,0,1,100,5,2,1
2,4189105,100,3,12,0,0,0,1,115,5,4,1
2,4006970,100,1,13,0,0,0,1,110,5,5,1
2,3817800,90,3,6,0,0,0,1,100,6,6,1
2,4917645,115,3,11,0,0,1,1,135,3,5,1
2,5106600,105,4,20,0,0,1,1,150,8,3,1
2,5091840,58,0,4,3,0,0,1,65,8,10,0
2,10722998,105,3,13,3,0,1,1,143,8,13,1
2,8773362,87,0,7,3,0,0,1,117,8,12,0
2,3599328,38,0,9,0,0,0,1,48,8,13,0
2,11997760,120,5,14,0,0,2,1,160,8,6,0
2,2199670,100,1,11,0,0,0,1,110,5,4,1
2,4006970,90,3,9,0,0,1,1,110,8,5,1
2,5281915,120,3,2,0,0,1,1,145,5,6,1
2,3671830,70,1,9,0,0,0,1,85,4,6,0
2,5561856,70,0,15,3,0,0,1,71,3,10,0
2,4553375,110,3,2,0,0,0,1,125,5,5,1
2,2914160,70,1,11,0,0,0,1,80,5,5,1
