ilan_ilce,ilan_fiyat,net_metrekare,oda_sayısı,bulunduğu_kat,ısıtma_tipi,krediye_uygunluk,banyo_sayısı,tipi,brüt_metrekare,binanın_yaşı,binanın_kat_sayısı,site_içerisinde
Kadıköy,13616020,180 M2,4+2,Çatı Dubleks,Yerden Isıtma,Krediye Uygun,2,Daire,220 M2,5-10,9,Hayır
Kadıköy,14166240,180 M2,5+2,Çatı Dubleks,Merkezi (Pay Ölçer),Krediye Uygun,2,Daire,220 M2,0 (Yeni),14,Hayır
Kadıköy,2430720,50 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,Daire,60 M2,21 Ve Üzeri,4,Hayır
Kadıköy,4219060,63 M2,2+1,5.Kat,Yerden Isıtma,Krediye Uygun,1,Daire,85 M2,0 (Yeni),7,Hayır
Kadıköy,5151360,70 M2,2.5+1,5.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,Daire,80 M2,5-10,12,Hayır
Kadıköy,9661950,75 M2,2+1,1.Kat,Merkezi Doğalgaz,Krediye Uygun,1,Daire,85 M2,4,11,Hayır
Kadıköy,9014880,110 M2,3+1,3.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,Daire,140 M2,21 Ve Üzeri,10,Hayır
Kadıköy,5473320,75 M2,2+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,1,Daire,85 M2,21 Ve Üzeri,9,Hayır
Kadıköy,11912520,145 M2,3+1,8.Kat,Kombi Doğalgaz,Krediye Uygun,3,Daire,185 M2,21 Ve Üzeri,9,Hayır
Kadıköy,5814690,55 M2,2+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,1,Daire,70 M2,0 (Yeni),8,Hayır
Kadıköy,13616020,180 M2,4+2,9.Kat,Yerden Isıtma,Krediye Uygun,3,Daire,220 M2,5-10,9,Hayır
Kadıköy,4535534,58 M2,2+1,7.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,Daire,74 M2,1,10,Hayır
Kadıköy,5527280,85 M2,3+1,8.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,Daire,110 M2,21 Ve Üzeri,8,Hayır
Kadıköy,11952160,90 M2,3+1,Bahçe Katı,Kombi Doğalgaz,Krediye Uygun,2,Daire,110 M2,0 (Yeni),4,Hayır
Kadıköy,18523941,150 M2,3+1,35.Kat,Merkezi (Pay Ölçer),Bilinmiyor,2,Residence,223 M2,4,45,Evet
Kadıköy,14511510,160 M2,4+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,2,Daire,195 M2,21 Ve Üzeri,8,Hayır
Kadıköy,5976080,45 M2,1+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,1,Daire,55 M2,4,8,Hayır
Kadıköy,11068050,80 M2,2+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,1,Daire,105 M2,4,10,Hayır
Kadıköy,5473320,70 M2,2+1,4.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,Daire,85 M2,0 (Yeni),14,Hayır
Kadıköy,23190200,165 M2,4+1,8.Kat,Kombi Doğalgaz,Krediye Uygun,3,Daire,220 M2,2,9,Hayır
Kadıköy,5473320,70 M2,2+1,4.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,Daire,85 M2,0 (Yeni),14,Hayır
Kadıköy,6117240,72 M2,2+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,1,Daire,95 M2,0 (Yeni),8,Hayır
Kadıköy,10383375,95 M2,3+1,10.Kat,Yerden Isıtma,Krediye Uygun,2,Daire,125 M2,0 (Yeni),12,Hayır
Kadıköy,10865600,82 M2,2+1,8.Kat,Kombi Doğalgaz,Krediye Uygun,2,Daire,100 M2,0 (Yeni),9,Hayır
Kadıköy,11718900,115 M2,3+1,12.Kat,Kombi Doğalgaz,Krediye Uygun Değil,2,Daire,150 M2,3,14,Hayır
Kadıköy,10865600,85 M2,2+1,3.Kat,Kombi Doğalgaz,Krediye Uygun,1,Daire,100 M2,5-10,5,Hayır
Kadıköy,17919700,145 M2,4+1,6.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,Daire,170 M2,4,13,Hayır
Kadıköy,13038720,95 M2,3+1,9.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,Daire,120 M2,3,12,Hayır
Kadıköy,19323900,145 M2,3+1,7.Kat,Kombi Doğalgaz,Krediye Uygun,3,Daire,170 M2,5-10,7,Hayır
Kadıköy,8045830,110 M2,3+1,2.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,Daire,130 M2,21 Ve Üzeri,8,Hayır
Kadıköy,10798650,80 M2,2+1,2.Kat,Yerden Isıtma,Krediye Uygun,1,Daire,95 M2,4,14,Hayır
Kadıköy,17384960,123 M2,3+1,9.Kat,Merkezi Doğalgaz,Krediye Uygun,2,Daire,160 M2,21 Ve Üzeri,12,Hayır
Kadıköy,8692480,60 M2,2+1,2.Kat,Kombi Doğalgaz,Krediye Uygun,1,Daire,80 M2,0 (Yeni),7,Hayır
Kadıköy,9525504,93 M2,3+1,1.Kat,Kombi Doğalgaz,Krediye Uygun,2,Daire,128 M2,5-10,8,Hayır
Kadıköy,9674340,95 M2,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,Daire,130 M2,5-10,11,Hayır
Kadıköy,6566430,100 M2,3+1,Yüksek Giriş,Merkezi Doğalgaz,Krediye Uygun,2,Daire,130 M2,21 Ve Üzeri,5,Hayır
Kadıköy,19558080,145 M2,4+1,11.Kat,Kombi Doğalgaz,Krediye Uygun,2,Daire,180 M2,4,15,Hayır
Kadıköy,9552705,93 M2,3+1,6.Kat,Kombi Doğalgaz,Krediye Uygun,2,Daire,115 M2,0 (Yeni),11,Hayır
Kadıköy,10541000,80 M2,2+1,1.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,Daire,100 M2,11-15,9,Hayır
Kadıköy,9014880,110 M2,3+1,11.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,Daire,140 M2,0 (Yeni),14,Hayır
Kadıköy,8558070,90 M2,3+1,8.Kat,Kombi Doğalgaz,Krediye Uygun,1,Daire,115 M2,0 (Yeni),10,Hayır
Kadıköy,9658800,110 M2,3+1,11.Kat,Merkezi (Pay Ölçer),Krediye Uygun,2,Daire,150 M2,0 (Yeni),14,Hayır
Kadıköy,4307450,65 M2,2+1,11.Kat,Yerden Isıtma,Krediye Uygun,1,Daire,70 M2,0 (Yeni),14,Hayır
Kadıköy,9004578,90 M2,3+1,8.Kat,Kombi Doğalgaz,Krediye Uygun,2,Daire,121 M2,1,10,Hayır
Kadıköy,8334816,82 M2,3+1,10.Kat,Kombi Doğalgaz,Krediye Uygun,2,Daire,112 M2,4,13,Hayır
Kadıköy,9552705,76 M2,3+1,5.Kat,Kombi Doğalgaz,Krediye Uygun,2,Daire,115 M2,11-15,10,Hayır
Kadıköy,4369240,45 M2,1+1,12.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,Daire,76 M2,3,23,Evet
Kadıköy,6084736,43 M2,1+1,1.Kat,Merkezi (Pay Ölçer),Krediye Uygun,1,Daire,56 M2,5-10,10,Hayır
Kadıköy,7967830,115 M2,3+1,4.Kat,Kombi Doğalgaz,Krediye Uygun,2,Daire,130 M2,1,10,Hayır
